Loco ID,Train Number,Last Seen,Last Date,Last Time,Latitude,Longitude,Speed,Origin,Destination,Description,Total Sightings,cId,servId,trKey
5022,BW246,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.837167,151.68712,0,Mt Arthur,PWCS Kooragang,AZ Coal,2,,,
XRN016,MO186,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.836477,151.68712,0,Mt Owen,PWCS Kooragang,ORA Coal,2,,,
5012,HA421,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.82264,151.680987,1,Vales Point / Eraring,Hexham,AZ Coal,2,,,
5009,BW294,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.822047,151.680893,39,Mount Arthur,PWCS Kooragang,AZ Coal,2,,,
XRN027,MN411,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.776847,151.63172,65,Vales Point / Eraring,Mangoola,ORA Coal,2,,,
XRN001,UL142,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.869213,151.756867,1,Ulan,PWCS Kooragang,ORA Coal,2,,,
XRN006,MN164,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.86901,151.758253,1,Mangoola,PWCS Kooragang,ORA Coal,2,,,
TT03,GR443,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.865797,151.74752,10,,,,2,,,
TT131,BG204,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.865107,151.743147,17,Bengalla,PWCS Kooragang,PN Coal,2,,,
HM2751,V784,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.859677,151.697347,96,Telarah,Newcastle Interchange,Hunter Line Service,2,,,
1101,4112,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.935787,151.714987,17,Carrington,Cooks River / IMEX Terminal Moorebank,QUBE Containerised Freight,2,,,
HM2757,V880,2026-02-16 12:14:46,2026-02-16,12:14:46,-32.92828,151.7256,11,Newcastle Interchange,Broadmeadow Maintenance Centre,Hunter Railcar Transfer,2,,,
