train_id,service_number,route,origin,destination,current_operator,vehicle_description,date_time_added,lat,lon,source
VLINE8057,8057,,,,V/Line,Bendigo - Melbourne Via Sunbury,23:52:08,-36.767632,144.27919,TrainFinder
VLINE8059,8059,,,,V/Line,Bendigo - Melbourne Via Sunbury,00:02:23,-37.263538,144.455048,TrainFinder
VLINE8061,8061,,,,V/Line,Bendigo - Melbourne Via Sunbury,00:02:30,-37.800571,144.872635,TrainFinder
VLINE8159,8159,,,,V/Line,Ballarat - Melbourne Via Melton,23:49:01,-37.53973,143.819458,TrainFinder
VLINE8165,8165,,,,V/Line,Ballarat - Melbourne Via Melton,00:02:11,-37.817612,144.953644,TrainFinder
VLINE8189,8189,,,,V/Line,Ararat - Melbourne Via Ballarat,23:42:07,-37.28241,142.9375,TrainFinder
VLINE8193,8193,,,,V/Line,Ballarat - Melbourne Via Melton,00:02:16,-37.597141,144.111343,TrainFinder
VLINE8455,8455,,,,V/Line,"Traralgon - Melbourne Via Pakenham, Moe & Morwell",00:02:03,-38.17675,146.261292,TrainFinder
VLINE8457,8457,,,,V/Line,"Traralgon - Melbourne Via Pakenham, Moe & Morwell",00:02:20,-38.065689,145.408752,TrainFinder
VLINE8459,8459,,,,V/Line,"Traralgon - Melbourne Via Pakenham, Moe & Morwell",00:02:21,-37.819649,144.961594,TrainFinder
VLINE8815,8815,,,,V/Line,Geelong - Melbourne Via Geelong,23:59:04,-38.215931,144.30603,TrainFinder
VLINE8817,8817,,,,V/Line,Geelong - Melbourne Via Geelong,00:02:12,-37.832081,144.694046,TrainFinder
VLINE8819,8819,,,,V/Line,Geelong - Melbourne Via Geelong,00:01:55,-37.817829,144.951798,TrainFinder
VLINE8822,8822,,,,V/Line,Geelong - Melbourne Via Geelong,00:01:10,-37.818329,144.952789,TrainFinder
VLINE8893,8893,,,,V/Line,Geelong - Melbourne Via Geelong,23:52:33,-38.215939,144.306152,TrainFinder
